Offspring,Outsider
-1.95,0.69
0,-0.95
0.56,-2.2
1.44,2.65
1.5,5.39
1.41,4.15
-0.32,4.28
-1.7,2.97
-1.66,4.11
-1.87,2.66
-1.38,6.31
0.57,-3.04
3.05,-0.42
2.98,-0.89
0.91,-1.05
-2.16,-4.23
1.22,-0.16
0.67,2.77
-0.39,-0.96
-1.43,1.01
-0.48,0.09
0.24,6.79
0.79,1.72
-1.19,6.64
1.89,4.75
-3.7,2.84
-0.31,-2.1
-1.37,2.07
-3.15,1.58
3.27,-1.98
-0.67,4.41
2.61,4.62
1.55,4.5
-2.67,2.37
-1.91,2.44
1.01,1.07
-1.62,-1.11
-5.25,0.44
0.14,1.36
2.12,0.88
2.75,0.33
0.3,-5.96
,-2.46
,1.59
,-2.03
,-1.69
,0.55
,0.95
,3.06
,4.83
,5.67
,-0.8
,1.37
,0.72
,4.14
,3.04
,3.33
,3.2
,0.55
,-1.4
,2.79
,5.62
,-2.69
,-2.59
,2.45
,3.39
,5.89
,-0.71
,4.22
,0.46
,-1.32
,5.93
,-0.45
,-3.2
,5.08
,0.23
,-2.69
,3.76
,1.05
,0.53
,3.2
,-3.07
,-4.34
,-1.16
,-0.51
,8.68
,1.43
,-0.37
,-0.49
,-0.08
,-1.16
,1.04
,1.28
,1.74
,-0.14
,-0.82
,0
,2.68
